semana,pdv,produto,quantidade
1,6788142747972963758,1510745108909725123,58
1,4829978708755303356,3620674245436818138,62
1,3152314521778346994,5615873819927702017,36
1,2805811841339384135,1380288516179470221,92
1,7059328007645110932,7288954136225478823,10
1,306604626036516134,5237747548711424858,12
1,4675693014052462677,8080567452120095383,76
1,5077327874228029971,4439123428195264029,94
1,4397308740234843852,8352471677482341950,216
1,8294871217390043140,4697204510956344244,101
1,34847677619790186,7723484071811439958,12
1,9215587796775433247,4040509988492387426,98
1,7719858014634884431,9145542970994664509,55
1,4800750325225351111,1201594281387648185,26
1,8107898690947763058,4040509988492387426,92
1,2752919715342102401,500478784353013717,139
1,4743958978514550580,1201594281387648185,38
1,5835398220478400992,3212701144500706568,17
1,6337402841339348330,4040509988492387426,98
1,199752024806356018,8080567452120095383,21
1,1722874428581033934,7723484071811439958,12
1,9167915875564003039,4040509988492387426,41
1,3958233000542651382,8352471677482341950,0
1,3563746435574440096,1690125846152117227,23
1,3149404500704696584,2110875768038469912,216
1,1991570509503070331,3620674245436818138,11
1,5370257333471528502,4240185897530825786,54
1,5315742781543431732,3968076782240786250,45
1,4886590186530426719,7431487353670755453,12
1,2586458140334313308,8080567452120095383,29
1,7535235951675607466,4822827148060047024,48
1,4304226119364518876,4040509988492387426,98
1,5155725950101564387,4240185897530825786,86
1,4440977747777161208,4040509988492387426,42
1,7912552351930256958,3894706280449257667,91
1,1779097047309660980,1201594281387648185,123
1,7375568833862695565,3212701144500706568,6
1,8782754052316133836,1860061817666925715,89
1,1053416366079642202,3894706280449257667,77
1,7912552351930256958,4040509988492387426,60
1,2015648714931843883,4040509988492387426,35
1,5381502526589980672,1586689322276564072,68
1,8758218561472407887,4040509988492387426,57
1,5481812168908256532,4040509988492387426,51
1,5077327874228029971,7029448080469668619,72
1,8782754052316133836,8352471677482341950,100
1,1613675031943900189,5237747548711424858,12
1,199752024806356018,5168467358507505407,56
1,7478671919770794303,1201594281387648185,83
1,8382326197887632813,4040509988492387426,67
1,3324333006057930867,3894706280449257667,25
1,2253388937638480168,1201594281387648185,39
1,541000079711085607,4240185897530825786,58
1,2996423412583906652,4040509988492387426,28
1,6812061841125848944,4240185897530825786,19
1,2961728766576743186,3894706280449257667,81
1,1082332438014605784,4040509988492387426,86
